시도명,시군구명,대피소명,주소,수용가능인원수,면적(㎡),경도,위도,비고,내진적용여부,해변에서의거리(m),긴급대피장소,대피소분류명,해발높이
city_name,gun_name,shelter_name,address,accept_limit,size,longitude,latitude,note,earthquake_proof,beach_distance,emergency_shelter,classify_shelter_name,sea_height
강원도,속초시,속초교육문화관,강원도 속초시 금호동 488-2,220,,128.5859910,38.2063770,,,,,,
강원도,속초시,속초여자중학교,강원도 속초시 금호동 625-37,1500,,128.5848660,38.2069400,,,,,,
강원도,속초시,할머니성황당 고지대,강원도 속초시 대포동 ,469,,128.6001460,38.1748110,,,,,,
강원도,속초시,내물치 뒷산 고지대,강원도 속초시 대포동 ,500,,128.6001460,38.1748110,,,,,,
강원도,속초시,대포초등학교,강원도 속초시 대포동 350,500,,128.6036220,38.1738740,,,,,,
강원도,속초시,수질환경사업소 고지대,강원도 속초시 대포동 552,631,,128.5559520,38.1589670,,,,,,
강원도,속초시,(구)대포정수장 고지대,강원도 속초시 대포동 산44,600,,128.5998780,38.1788430,,,,,,
강원도,속초시,동명천주교회,강원도 속초시 동명동 333-3,182,,128.5949300,38.2127770,,,,,,
강원도,속초시,동명성당 고지대,강원도 속초시 동명동 333-3,500,,128.5949300,38.2127770,,,,,,
강원도,속초시,속초감리교회,강원도 속초시 동명동 338,1500,,128.5946030,38.2124540,,,,,,
강원도,속초시,중앙공원 고지대,강원도 속초시 동명동 산51,3100,,128.5850760,38.2149540,,,,,,
강원도,속초시,양우아파트 고지대,강원도 속초시 영랑동 157,300,,128.5926880,38.2159320,,,,,,
강원도,속초시,영금공원 고지대,강원도 속초시 영랑동 1-7,1668,,128.6000380,38.2136840,,,,,,
강원도,속초시,속초고등학교,강원도 속초시 장사동 460,2667,,128.5837490,38.2251620,,,,,,
강원도,속초시,해경 충혼탑 고지대,강원도 속초시 장사동 482-3,300,,128.5861960,38.2278350,,,,,,
강원도,속초시,우림연립 고지대,강원도 속초시 장사동 518-7,200,,128.5851870,38.2263640,,,,,,
강원도,속초시,조양감리교회,강원도 속초시 조양동 1289-15,1000,,128.6021460,38.1838210,,,,,,
강원도,속초시,조양초등학교,강원도 속초시 조양동 1396,1500,,128.5983700,38.1883650,,,,,,
